name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.7968056787932565,0.8,1527104,311708,0.2041170738862579,250,255105.0,25.0,True
trading_gate_validation,0.8435372671372668,0.98,30240000,604803,0.020000099206349205,250,,,True
dataset_gate_refit,0.7872500807638465,0.8,1944595,446237,0.22947554632198477,250,355844.0,25.0,True
trading_gate_test,0.8344322809994056,0.98,30240002,604801,0.020000031746029646,250,,,True
