name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.8014511873350925,0.8,1532380,307992,0.20098931074537646,250,254249.0,25.0,True
trading_gate_validation,0.8527442557302634,0.98,30239998,604804,0.020000133597892433,250,,,True
dataset_gate_refit,0.7947733040674944,0.8,1527577,312644,0.20466660600414904,250,256210.0,25.0,True
trading_gate_test,0.8437242566808694,0.98,30240002,604801,0.020000031746029646,250,,,True
