feature,mean,std,min,q01,median,q99,max,zero_share,neg_share,q99_to_median,skew_proxy,log1p_candidate
stdev_100,0.00023546086521259954,0.00012893181489327893,1.2261263691470958e-05,4.553246370051056e-05,0.0002026689617196098,0.0005868695443496108,0.001161266933195293,0.0,0.0,2.8957050915449902,1.8957050915449902,False
stdev_500,0.00022852330544793456,0.00010531885574506049,2.2276579329627566e-05,5.245125794317573e-05,0.0002070498012471944,0.0004825431969948113,0.0006022454472258687,0.0,0.0,2.330565854630831,1.330565854630831,False
amplitude_80ms_w0,0.2435548632706737,0.32513825383424727,0.0,0.0,0.1642935425043106,1.2691610014438632,22.544157028198242,0.19507049261900813,0.0,7.724959740341371,6.724959740341371,True
ret_vwap_80ms_w0,1.4485585892234177e-05,1.9705450514984878e-05,-0.0005685281939804554,-2.793117005239764e-06,8.971155693870969e-06,7.45071924029617e-05,0.0010256873210892081,0.0024017249958533755,0.09480179134184774,8.305194441543858,7.305194441543858,False
amplitude_80ms_w1,0.13693835512824082,0.3146057920268547,0.0,0.0,0.0,1.2396432912349709,14.898551940917969,0.5839907115607895,0.0,1239643291234.971,1239643291233.971,True
ret_vwap_80ms_w1,2.4126393835529776e-05,3.5408999283402164e-05,-0.0012170060072094202,-5.664147838615437e-06,9.512769793218467e-06,0.000125269629934337,0.0020423082169145346,6.966329407862e-05,0.029852380162547685,13.168575783641913,12.168575783641913,False
amplitude_80ms_w2,0.08720335983097378,0.2829649442749119,0.0,0.0,0.0,1.158112471103672,27.432710647583008,0.7161154420301874,0.0,1158112471103.672,1158112471102.672,True
ret_vwap_80ms_w2,2.6111767648616055e-05,4.4794203532673244e-05,-0.001223570667207241,-3.685402447445085e-05,1.0265727041769424e-06,0.0001630650574225002,0.0020412125159054995,9.288439210482668e-05,0.030983579366395755,158.84413910385246,157.84413910385246,False
amplitude_1s_w0,0.8498661576655472,0.968954410401103,0.0,0.0,0.606826663017273,4.299615530967714,56.70151138305664,0.03051915740587162,0.0,7.085409710886959,6.085409710886959,False
ret_vwap_1s_w0,4.470294372169022e-05,5.528903305906416e-05,-0.000967524538282305,-8.476041322865057e-05,3.604295488912612e-05,0.00022087596633355147,0.001121613197028637,0.00014264388787526953,0.059880577210150936,6.128131475707282,5.128131475707282,False
amplitude_1s_w1,0.4565367127951685,0.903113366681053,0.0,0.0,0.01103090401738882,3.918385200500489,56.04735565185547,0.152582517830486,0.0,355.21886459384035,354.21886459384035,True
ret_vwap_1s_w1,6.753190442974276e-05,0.00011116421429176052,-0.0025197556242346764,-0.00024370569066377355,5.352144580683671e-05,0.0004067921717069127,0.003566207829862833,1.658649859014762e-05,0.1082799800962017,7.600545268807928,6.600545268807928,False
amplitude_1s_w2,0.43146170688235413,0.8987034440439996,0.0,0.0,0.010999532882124186,3.8318986725807216,56.871604919433594,0.1599203848067673,0.0,348.3692183700005,347.3692183700005,True
ret_vwap_1s_w2,7.396763163995146e-05,0.00014457469615895995,-0.005711342208087444,-0.00034676820156164466,5.962733121123165e-05,0.0005010523879900577,0.0036462375428527594,9.951899154088572e-06,0.14507215126886713,8.403065805763875,7.403065805763875,False
amplitude_5s_w0,2.018706362634733,2.05858508878419,0.0,0.010527312755584717,1.4769313335418701,9.140673532485975,95.23015594482422,0.0006767291424780229,0.0,6.188963105390601,5.188963105390601,False
ret_vwap_5s_w0,6.778855957107953e-05,0.00011402461399368419,-0.005643045529723167,-0.0002495607896707952,5.733701982535422e-05,0.0003994321991922334,0.0021754764020442963,0.0,0.14148946757339526,6.9663927495514155,5.9663927495514155,False
amplitude_5s_w1,1.584570056372139,2.0580879055465835,0.0,0.010335062630474567,0.9788959920406342,8.93648133277894,67.79019927978516,0.002501243987394261,0.0,9.129142835848882,8.129142835848882,False
ret_vwap_5s_w1,8.80274580519478e-05,0.0002459165847741671,-0.005671592894941568,-0.0006318578257923945,7.988547804416157e-05,0.0007643262529745702,0.004880745895206928,0.0,0.24267042627301377,9.567774665528598,8.567774665528598,False
amplitude_5s_w2,1.5687141955920554,2.0930877012094546,0.0,0.010329041630029678,0.9478523135185242,8.946953563690192,95.31971740722656,0.002955714048764306,0.0,9.43918523601867,8.43918523601867,False
ret_vwap_5s_w2,9.079042878427984e-05,0.0003292526050045343,-0.008086291141808033,-0.0008727333549177274,8.72101736604236e-05,0.0009816941246390352,0.007472197990864515,0.0,0.29248963343838114,11.256646827255805,10.256646827255805,False
amplitude_30s_w0,5.880503712044298,5.1338189071334375,0.010327580384910107,0.1105331689119339,4.526724100112915,23.2575982284546,205.75428771972656,0.0,0.0,5.137843109959907,4.137843109959907,False
ret_vwap_30s_w0,8.730985107014257e-05,0.0002744996649294131,-0.00918599683791399,-0.0006889072427293286,8.46079783514142e-05,0.0008315226191189147,0.007368650287389755,0.0,0.2994028860507547,9.827945724754644,8.827945724754644,False
amplitude_30s_w1,5.361292073790439,5.1144005624176545,0.0,0.010861601559445261,4.014130592346191,22.74232566833497,219.21922302246094,9.62016918228562e-05,0.0,5.665566962793422,4.665566962793422,False
ret_vwap_30s_w1,8.378535052437084e-05,0.0006190375246497266,-0.018791334703564644,-0.001680663931183517,9.364289508084767e-05,0.001775373540585862,0.01842244155704975,0.0,0.3945264554652513,18.95897749693741,17.95897749693741,False
amplitude_30s_w2,5.225664360548187,4.955274204747622,0.0,0.01084571611136198,3.9001388549804688,22.30225160598755,181.21774291992188,4.975949577044286e-05,0.0,5.718322458572885,4.718322458572885,False
