term,coef,std_err,z_value,p_value
const,-2.323695707087678,0.0064772125146083746,-358.74933883162447,0.0
stdev_100,-0.0093981610964083,0.025637813176254593,-0.36657420942253977,0.7139366488589236
stdev_500,-0.011219910328323932,0.012224050269747008,-0.9178553818689541,0.3586945833902343
log1p(amplitude_80ms_w0),-0.02526447182819215,0.020709662025242694,-1.2199364623815525,0.2224889620709266
ret_vwap_80ms_w0,-0.005197995023895879,0.014158233090040091,-0.3671358559248836,0.7135176827709244
log1p(amplitude_80ms_w1),-0.001465805372855794,0.017472381481717657,-0.08389270657749484,0.933141738427323
ret_vwap_80ms_w1,0.018828533034332528,0.014163260056717237,1.3293925945674268,0.18371847974263877
log1p(amplitude_80ms_w2),0.0017798464763357372,0.016000232570239626,0.11123878784401203,0.9114269942321214
ret_vwap_80ms_w2,-0.023651037525171892,0.012322438316569793,-1.9193472036592552,0.05494040784216792
amplitude_1s_w0,-0.014136242584066013,0.019642643338284665,-0.7196710921545699,0.47172752892482517
ret_vwap_1s_w0,0.05062411660497295,0.017124691497663384,2.9562060497195217,0.0031144894826581676
log1p(amplitude_1s_w1),-0.05742752680770154,0.015086210918428676,-3.8066236192913427,0.00014087689111680866
ret_vwap_1s_w1,0.052985389745877666,0.02936171996937654,1.804573771602616,0.07114140546268177
log1p(amplitude_1s_w2),-0.030588584008867787,0.014894943690429705,-2.053621997142665,0.04001229143089487
ret_vwap_1s_w2,0.02317754691982403,0.03555872421556623,0.6518104187123169,0.5145234796497327
amplitude_5s_w0,0.015487462090069657,0.017801181597408296,0.8700243860398853,0.38428707764958203
ret_vwap_5s_w0,-0.00524442873958716,0.019081994859076797,-0.27483650311814883,0.7834418521602324
amplitude_5s_w1,-0.04142827415737061,0.017419627800941934,-2.3782525453919545,0.017394907829463742
ret_vwap_5s_w1,0.033194001079172905,0.031246424383323337,1.0623295860018152,0.28808608760435483
amplitude_5s_w2,-0.004927749257780517,0.01801356330997741,-0.2735577172036317,0.7844245315963472
ret_vwap_5s_w2,0.01859694931564649,0.04160261391001692,0.4470139630137227,0.6548649782839515
amplitude_30s_w0,-0.019042656505068128,0.01664966454289257,-1.1437261367044829,0.252737230506451
ret_vwap_30s_w0,-0.004340453158423395,0.019802455705980156,-0.21918762111471957,0.8265038979583416
amplitude_30s_w1,-0.044953822492134525,0.015416319909059121,-2.915989208664399,0.003545627641414181
ret_vwap_30s_w1,0.02014427172246652,0.028780587187667836,0.6999256683372366,0.48397372636195235
amplitude_30s_w2,0.007328616678133904,0.01483215741953106,0.4941032157927035,0.6212332868927352
ret_vwap_30s_w2,-0.04918011567504217,0.03846028135257013,-1.2787248024579436,0.20099398242492184
amplitude_300s_w0,0.03232714234128156,0.016768552401652988,1.9278433562395558,0.05387461306378134
ret_vwap_300s_w0,0.012571626841993722,0.016791409579897394,0.7486939546185819,0.45404168821054947
amplitude_300s_w1,0.016477279129278224,0.015772618045097497,1.044676228268886,0.2961726352076186
ret_vwap_300s_w1,-0.03383238230393789,0.02767656862931848,-1.222419684935162,0.22154895890598858
amplitude_300s_w2,0.004165343998295199,0.014956539196306583,0.2784965120356053,0.7806312421716008
ret_vwap_300s_w2,0.02687868319599216,0.036778919892971496,0.7308176334218209,0.4648905514108057
log1p(max_size_80ms_w0),0.03857989591655211,0.02348636513307258,1.6426507762252835,0.10045520866878115
log1p(avg_size_80ms_w0),0.03180951611277921,0.011265550658367866,2.823609522287455,0.0047486198707247535
log1p(same_count_80ms_w0),0.04022125159488786,0.010166288370593825,3.956335894546191,7.610812847606354e-05
opp_count_80ms_w0,0.029322065476846623,0.032199269685007054,0.9106438053935073,0.3624830816784904
log1p(total_same_80ms_w0),-0.025680280816773784,0.011930517811694158,-2.1524866918686683,0.03135904232524383
log1p(total_opp_80ms_w0),-0.10179108445237052,0.026067952233607444,-3.9048362349359746,9.4289213871984e-05
log1p(max_size_80ms_w1),0.00838028889516794,0.022687934562993894,0.36937204979588406,0.7118504283131215
log1p(avg_size_80ms_w1),-0.01811433407996847,0.010216633006470082,-1.7730238590832086,0.0762247534235699
log1p(same_count_80ms_w1),0.0005242372498979924,0.010933587571859782,0.047947414007753784,0.9617581519054089
log1p(opp_count_80ms_w1),-0.044807454733230376,0.024378062166675405,-1.8380236471167002,0.06605892087415198
log1p(total_same_80ms_w1),0.014550171855745033,0.011716803298129403,1.2418209545318541,0.21430262959294055
log1p(total_opp_80ms_w1),0.01832401361911161,0.022884949790703824,0.8007014997496333,0.4233044741215273
log1p(max_size_80ms_w2),-0.0406940008964536,0.022718184034863642,-1.7912523656822226,0.07325280636609065
log1p(avg_size_80ms_w2),0.012380559337097048,0.010059508101410533,1.2307320807625832,0.21842308537064714
log1p(same_count_80ms_w2),0.007807895965637537,0.012206257881092497,0.6396633629813748,0.522391478942188
log1p(opp_count_80ms_w2),-0.03819591242266442,0.02286776040479783,-1.670295286750102,0.094860955247839
log1p(total_same_80ms_w2),0.0146579879515999,0.012796777987935031,1.1454436394395247,0.2520254297619512
log1p(total_opp_80ms_w2),0.04825586449012278,0.021660019177237144,2.227877274496397,0.025888700004140532
max_size_1s_w0,0.0032557667447304242,0.00851473171749538,0.38236868203853547,0.7021879168204099
avg_size_1s_w0,-0.026208064266429996,0.009765306840097594,-2.683793217722186,0.007279211288633696
log1p(same_count_1s_w0),-0.04739891709629517,0.016172320818781775,-2.9308667338115315,0.00338017753706739
opp_count_1s_w0,0.05917021489455244,0.026132514577267105,2.2642373247167384,0.02355952207920551
log1p(total_same_1s_w0),0.01987514032290016,0.014897021007835583,1.334168778606553,0.18214854917552092
log1p(total_opp_1s_w0),0.0033026582001416996,0.0151700475521634,0.21770915277524674,0.8276557318468503
log1p(max_size_1s_w1),-0.009682324983426823,0.01725331213872868,-0.5611864496262612,0.574670439374741
avg_size_1s_w1,-0.0042834854628578615,0.008251148131517972,-0.5191381120035503,0.6036644326833962
log1p(same_count_1s_w1),0.01681354420750031,0.017551819334932703,0.9579374016251959,0.33809432504377857
log1p(opp_count_1s_w1),-0.019633279281948857,0.017933183936845905,-1.0948016454350809,0.27360354542172327
log1p(total_same_1s_w1),0.042323031076933776,0.016551408791336167,2.55706517858998,0.010555943662030135
log1p(total_opp_1s_w1),0.04793435412712244,0.017357035118627743,2.761667174117705,0.0057507067666103095
log1p(max_size_1s_w2),-0.020317378736160456,0.017497390997591063,-1.161166184087538,0.2455743237887843
avg_size_1s_w2,0.003674992109158053,0.007963669169302507,0.46146971088703886,0.6444616474656313
log1p(same_count_1s_w2),0.00844112007036422,0.01784219131662704,0.4730988431055543,0.6361426621253492
log1p(opp_count_1s_w2),-0.026544717939673543,0.017289973774387152,-1.535266524174611,0.12471837345371835
log1p(total_same_1s_w2),0.03807367561584362,0.017087387634198318,2.228174161604657,0.025868903382054304
log1p(total_opp_1s_w2),0.021883126449218606,0.017107835835770784,1.2791288541279524,0.20085168427532718
max_size_5s_w0,0.007215760234600364,0.010440223172549857,0.6911499989360889,0.48947128221615865
avg_size_5s_w0,0.03401249438202021,0.011234265956370296,3.0275671338129317,0.0024653094714567297
log1p(same_count_5s_w0),0.041035904497869154,0.024358887295927396,1.684637890037367,0.09205845636922737
opp_count_5s_w0,0.04603248843027068,0.054033510517474306,0.8519248146089616,0.39425582311128793
log1p(total_same_5s_w0),-0.05028818238828643,0.022833983976566885,-2.202339392017359,0.027641343603623053
total_opp_5s_w0,-0.04762428792310383,0.01641081511701827,-2.902006243048629,0.0037078115097167862
max_size_5s_w1,-0.0008397018444824407,0.009368655567488256,-0.08962885212649198,0.9285821559930059
avg_size_5s_w1,0.021869464258599963,0.00920864273625143,2.374884647496096,0.017554435239344694
log1p(same_count_5s_w1),0.05913308675185158,0.018972537449453132,3.1167726989283686,0.001828424881662443
opp_count_5s_w1,0.010652556428960538,0.04525576451054356,0.2353856253268848,0.8139094420082285
log1p(total_same_5s_w1),-0.02163067485331202,0.018552322421466417,-1.165928144299806,0.24364349878862934
log1p(total_opp_5s_w1),-0.00769396856093892,0.013074540186858764,-0.5884695332285672,0.5562171778277558
max_size_5s_w2,-0.0028673396073064655,0.01036425794972758,-0.2766565268072889,0.7820438559029868
avg_size_5s_w2,0.007593229814339513,0.009272482598466589,0.8188993329138436,0.41284385056254735
log1p(same_count_5s_w2),0.0447539942331672,0.01851495503307692,2.417180822379223,0.015641244866106373
