name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.8022309617979159,0.8,1446708,289342,0.20000027648979615,250,242459.0,25.0,True
trading_gate_validation,0.8591377786958374,0.98,30240000,604801,0.02000003306878307,250,,,True
dataset_gate_refit,0.8051904280417931,0.8,1505841,301451,0.20018780203221986,250,252281.0,25.0,True
trading_gate_test,0.8584615384615385,0.98,30240002,626688,0.020723808153187293,250,,,True
