term,coef,std_err,p_value
const,0.5207187947340107,0.0012764909930728775,0.0
q_near_norm,0.012518048157043611,0.003417622625579122,0.00025035871541639155
q_opp_norm,0.036989081246944416,0.003421044329566782,3.815454281768656e-27
imbalance,-0.36980751852490074,0.0027313457733910453,0.0
