term,coef,std_err,z_value,p_value
const,-2.430921858872815,0.006828061741703817,-356.01931424044557,0.0
stdev_100,0.007587978521663957,0.03087877541654007,0.2457344379531156,0.8058878117942302
stdev_500,-0.04270399002678974,0.013343463774678417,-3.200367666739435,0.0013725238068861335
log1p(amplitude_80ms_w0),-0.07329020264899262,0.02242344973169692,-3.2684624143890058,0.0010813353847681773
ret_vwap_80ms_w0,0.02649002299627902,0.014332723177348072,1.848219816185717,0.06457054986369991
log1p(amplitude_80ms_w1),0.0060663572059022185,0.01872907873976282,0.32390045929077244,0.746013396253553
ret_vwap_80ms_w1,0.011227327788589024,0.015094856002815222,0.7437850209697333,0.4570065435877917
log1p(amplitude_80ms_w2),0.035300411644237466,0.01690677746067859,2.0879444191146646,0.03680284868385233
ret_vwap_80ms_w2,-0.024636478234289168,0.01249103326267516,-1.9723330901620593,0.04857159453636025
amplitude_1s_w0,-0.048853583296595296,0.021080625409522057,-2.3174636590491415,0.020478488070271098
ret_vwap_1s_w0,0.03176994105645491,0.018165264113201966,1.748939121307104,0.08030154326537176
log1p(amplitude_1s_w1),-0.012525121472251781,0.016252588891145663,-0.770653928192044,0.44091208701219875
ret_vwap_1s_w1,0.04531234673074121,0.029681738698429265,1.5266068875250594,0.12685879332583477
log1p(amplitude_1s_w2),-0.013692863469713013,0.016050138080403422,-0.8531305712834616,0.3935868997531905
ret_vwap_1s_w2,0.03880694163120077,0.03620594374571837,1.0718389749415105,0.28379236387336515
amplitude_5s_w0,0.0033994955201107602,0.018738398205625707,0.1814186827927561,0.8560389554440848
ret_vwap_5s_w0,-0.019528783793283766,0.020519572087090036,-0.9517149631775397,0.34124155865683803
amplitude_5s_w1,-0.040397544971833975,0.018571705872658505,-2.1752199420360054,0.0296136384701982
ret_vwap_5s_w1,-0.025470265091774094,0.03256284247501247,-0.7821880141857714,0.4341040873995837
amplitude_5s_w2,-0.009972749652378092,0.01894998874102456,-0.5262667850977785,0.5987028573447328
ret_vwap_5s_w2,0.04449059987958739,0.04329532591281808,1.027607459733094,0.3041345137701147
amplitude_30s_w0,0.003207682969023337,0.017643822175978152,0.18180204589630009,0.855738078887292
ret_vwap_30s_w0,-0.008022926686930396,0.02095235893594913,-0.3829128124167925,0.7017844111461716
amplitude_30s_w1,-0.021226803876369237,0.016108112632456588,-1.3177710114590884,0.18758031476904213
ret_vwap_30s_w1,-0.011338029576277161,0.030224795702264818,-0.3751234479122575,0.707568659309818
amplitude_30s_w2,0.004012863857018876,0.015871200432813367,0.25283934091855875,0.8003923655024112
ret_vwap_30s_w2,-0.07404334312170889,0.04031193662902121,-1.8367597618320302,0.06624536852038992
amplitude_300s_w0,0.03651378229206063,0.01821649450639029,2.004435171610636,0.04502346487099478
ret_vwap_300s_w0,0.024874226551992045,0.01742150073910433,1.4277889674658921,0.15335260928370847
amplitude_300s_w1,0.005671719719233831,0.01711817266955661,0.3313274044326332,0.7403971934720072
ret_vwap_300s_w1,0.01839550956084454,0.028457411049150377,0.6464224566694641,0.5180058008616724
