name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.800271644493975,0.8,1565146,324576,0.20737745871631144,250,268559.0,25.0,True
trading_gate_validation,0.8532810001579073,0.98,30240000,604801,0.02000003306878307,250,,,True
dataset_gate_refit,0.7991585929271472,0.8,1511494,302299,0.20000013231941377,250,248580.0,25.0,True
trading_gate_test,0.846763560917434,0.98,30239998,604800,0.02000000132275141,250,,,True
