term,coef,std_err,z_value,p_value
const,-2.4720921409699463,0.006886558603146344,-358.97351397554246,0.0
stdev_100,-0.06376474269232936,0.032620094585327886,-1.9547687860172531,0.050610366969282145
stdev_500,-0.003641846632799432,0.013423758893406381,-0.27129857305380173,0.7861614038670837
log1p(amplitude_80ms_w0),-0.04706478247824873,0.022453760815081738,-2.0960757026785584,0.03607547600500534
ret_vwap_80ms_w0,0.009573313179938588,0.014381256039493272,0.6656799067931696,0.5056157193472949
log1p(amplitude_80ms_w1),0.03204323230688336,0.019288599753303635,1.6612523831023651,0.09666276897314517
ret_vwap_80ms_w1,0.035578817579484015,0.014500199071892688,2.4536778704266418,0.01414035880864874
log1p(amplitude_80ms_w2),0.018337988015099935,0.01768690455089052,1.036811611796516,0.2998236628709814
ret_vwap_80ms_w2,0.004325997802985646,0.012594887680646885,0.34347251938045537,0.731243011134612
amplitude_1s_w0,-0.04689896692563063,0.02133598241296402,-2.1981161222336874,0.027940831902370605
ret_vwap_1s_w0,-0.0018668323471805175,0.018008147136419368,-0.10366598701345947,0.917434419612887
log1p(amplitude_1s_w1),0.005327103272016014,0.016490788370635317,0.3230350879707993,0.7466686690326612
ret_vwap_1s_w1,0.020179262189114158,0.029602750039450555,0.6816684991165334,0.4954485905212116
log1p(amplitude_1s_w2),-0.02931356734351149,0.016424443552219097,-1.7847525397322181,0.0743014646569817
ret_vwap_1s_w2,0.004167904160968069,0.03663707851269945,0.11376191361773988,0.9094265310590612
amplitude_5s_w0,0.010675716160820867,0.018986572908807686,0.562277153022624,0.5739272020633228
ret_vwap_5s_w0,-0.03825733866802531,0.02060111078953362,-1.8570522268858396,0.06330372402918821
amplitude_5s_w1,-0.021654585407538004,0.018292252571409744,-1.1838118527503545,0.23648754924560156
ret_vwap_5s_w1,-0.023711882619600718,0.03276945762306885,-0.7235970424761674,0.46931315763410963
amplitude_5s_w2,-0.03246822871267463,0.018974036536563252,-1.7111924840087593,0.08704558569976752
ret_vwap_5s_w2,0.08323914148411941,0.04178659987697111,1.9920056125454968,0.04637044207915787
amplitude_30s_w0,-0.013047632492028578,0.01781537793641364,-0.7323803367291997,0.4639364570736645
ret_vwap_30s_w0,0.015665527278050664,0.02117720206635546,0.7397354583936622,0.4594605282172577
amplitude_30s_w1,0.0009478160158420143,0.01656754215700874,0.057209211050116435,0.9543785408224086
ret_vwap_30s_w1,0.016426565037301222,0.03019348323304477,0.544043392096061,0.5864116132550559
amplitude_30s_w2,0.022745112804588002,0.015957871978682713,1.4253224261337607,0.1540640204172912
ret_vwap_30s_w2,-0.1160890426315668,0.039968972954765994,-2.9044790008226635,0.00367864879518943
