name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.802834159565984,0.8,1515651,303131,0.2000005278259969,250,252127.0,25.0,True
trading_gate_validation,0.8586411847044964,0.98,30239998,604801,0.020000034391536668,250,,,True
dataset_gate_refit,0.8008009959935553,0.8,1494693,298939,0.20000026761348316,250,248097.0,25.0,True
trading_gate_test,0.8569202880138576,0.98,30240000,604801,0.02000003306878307,250,,,True
