term,coef,std_err,z_value,p_value
const,-2.4636891442936673,0.006723139611631639,-366.44920180316683,0.0
stdev_100,0.0034894311938100542,0.029831350840991432,0.11697194714411681,0.9068822837820123
stdev_500,-0.01562812092164823,0.012789029223122873,-1.2219943084806006,0.2217097793088193
log1p(amplitude_80ms_w0),-0.11543178942040985,0.021852357018657172,-5.282349602921833,1.275375243741291e-07
ret_vwap_80ms_w0,0.021608375367450614,0.014029635143465925,1.5401951046114242,0.12351280282882712
log1p(amplitude_80ms_w1),0.02083819615700597,0.018623455684007945,1.11892210074094,0.26317337352384584
ret_vwap_80ms_w1,0.02440795726055915,0.014441025543858352,1.690181710878536,0.09099319621963262
log1p(amplitude_80ms_w2),0.010513993447442471,0.016895081214066174,0.6223109148885853,0.5337374454673824
ret_vwap_80ms_w2,-0.017729668988180316,0.012051095148834264,-1.4712081158777803,0.14123484301375402
amplitude_1s_w0,-0.04313882576924693,0.020702148163558528,-2.0837849979831136,0.0371797285443235
ret_vwap_1s_w0,0.024308215705070163,0.017798681437052304,1.365731264478203,0.17202332748472748
log1p(amplitude_1s_w1),0.013259938883763644,0.01602202425776098,0.8276069659138485,0.4078931219877352
ret_vwap_1s_w1,0.01209975318741634,0.028848561737034126,0.4194230997617941,0.674906944980014
log1p(amplitude_1s_w2),-0.012296155348696599,0.015853937671369955,-0.7755899892871267,0.4379911130148666
ret_vwap_1s_w2,0.016095938836133354,0.03589296385891491,0.4484427337737262,0.653833706576002
amplitude_5s_w0,-0.021149304447728293,0.018383705785321943,-1.1504374958292947,0.24996372408436252
ret_vwap_5s_w0,-0.0025832812969975314,0.020121609443863934,-0.12838343295572216,0.8978455412434674
amplitude_5s_w1,-0.02742436471146485,0.017779029408411876,-1.5425119156667477,0.12294924463095366
ret_vwap_5s_w1,-0.021464749021213904,0.03171987664678732,-0.6766971151947375,0.4985981472007289
amplitude_5s_w2,-0.021110610686917046,0.018509111915102565,-1.1405523281585315,0.25405626505030454
ret_vwap_5s_w2,0.10506469863548991,0.042661780327353044,2.462735915597188,0.013788143051828915
amplitude_30s_w0,-0.0010519399229377115,0.01716953773277289,-0.061267806932844115,0.9511459289650198
ret_vwap_30s_w0,-0.014772106978861195,0.02044364329989162,-0.7225770261281906,0.46993978692968685
amplitude_30s_w1,-0.0005437988838094001,0.01581730141443829,-0.03438000386798039,0.9725741286463622
ret_vwap_30s_w1,0.01540765493642276,0.029239606973319423,0.5269446662016336,0.5982320147954348
amplitude_30s_w2,0.021621961660864747,0.015480087310379744,1.396759671140016,0.16248585348909805
ret_vwap_30s_w2,-0.123943627254568,0.03909621597940081,-3.1702205481950476,0.001523232729098486
amplitude_300s_w0,0.041258112984912325,0.017575447286586006,2.3474858029019545,0.018900593436366905
ret_vwap_300s_w0,0.03260432362892518,0.016465315305312752,1.9801821601560805,0.04768306371417838
amplitude_300s_w1,0.019093904755332826,0.016712516007918503,1.1424913368092515,0.2532498449971743
ret_vwap_300s_w1,0.026603903754488126,0.027103061616872544,0.9815829713469095,0.32630534005032563
amplitude_300s_w2,-0.0021557017321591444,0.016168971372972914,-0.1333233687185869,0.8939376470113279
ret_vwap_300s_w2,0.012826604197834391,0.035896122752118696,0.35732561665249285,0.7208480548392523
log1p(max_size_80ms_w0),0.06507936454661331,0.024836383488847768,2.6203237108106245,0.008784633593688113
log1p(avg_size_80ms_w0),0.02132101859434425,0.01120742602232984,1.9024010108890248,0.05711874897506779
log1p(same_count_80ms_w0),0.053526330760151467,0.009891414664465966,5.4113928670324665,6.253640357753559e-08
opp_count_80ms_w0,0.11725151158314086,0.033008836499491434,3.5521249464502436,0.00038213335688963
log1p(total_same_80ms_w0),-0.035203935828016224,0.011738625118559528,-2.998982885342894,0.0027088252261955647
log1p(total_opp_80ms_w0),-0.13134764733020515,0.026693268955239914,-4.920628026130966,8.626694805218628e-07
log1p(max_size_80ms_w1),-0.030602803486065977,0.022981062455345296,-1.331653118541867,0.18297420132063968
log1p(avg_size_80ms_w1),0.003866437833002204,0.009880650681497107,0.39131409030000897,0.6955650850370412
log1p(same_count_80ms_w1),-0.018660614195286158,0.010987889745036044,-1.6982891736528745,0.08945319705986764
log1p(opp_count_80ms_w1),-0.05299120010564077,0.025646575261892235,-2.0662096036026845,0.03880869244610248
log1p(total_same_80ms_w1),0.03372951721599572,0.011403049408577469,2.9579383555616356,0.003097040518844147
log1p(total_opp_80ms_w1),0.0585644895197237,0.023588275815288693,2.4827795799201757,0.013036172466316099
log1p(max_size_80ms_w2),-0.029801028861235524,0.024027375027255795,-1.2402948231935575,0.2148663664816136
log1p(avg_size_80ms_w2),-0.011454988158995606,0.010624760747380505,-1.0781408100713976,0.28097092173228966
log1p(same_count_80ms_w2),0.011456077021053761,0.01228608504353805,0.9324432461973852,0.351107504035011
log1p(opp_count_80ms_w2),-0.037482940961882476,0.024016244015458234,-1.5607328497227253,0.11858679708091062
log1p(total_same_80ms_w2),-4.980962721077957e-06,0.012965122952766481,-0.00038418168028365096,0.9996934673762988
log1p(total_opp_80ms_w2),0.046861186911751174,0.023356510142433357,2.006343697152567,0.04481959090900558
max_size_1s_w0,-0.0017283122200423369,0.009641902939951753,-0.17925011595802118,0.8577413140666631
avg_size_1s_w0,-0.015791229984387173,0.009815206754914828,-1.6088535248103595,0.10764837383789753
log1p(same_count_1s_w0),-0.048639472741211436,0.016190527847672907,-3.004193142980355,0.002662862214118959
opp_count_1s_w0,0.046076627795724884,0.027976381124092863,1.6469831316404375,0.09956151306969926
log1p(total_same_1s_w0),0.02377075487647501,0.015054284026971418,1.579002683481132,0.11433544153764322
log1p(total_opp_1s_w0),-0.016864184984705568,0.01798215533908127,-0.9378289013027278,0.3483323459465727
log1p(max_size_1s_w1),0.007866976001548896,0.01798768651895974,0.4373534080248057,0.6618550681466618
avg_size_1s_w1,0.002176010729793989,0.008342810055170848,0.2608246760269107,0.794227714204496
log1p(same_count_1s_w1),-0.024884049184977896,0.017823630340799257,-1.396126866927719,0.1626762945651058
log1p(opp_count_1s_w1),-0.00410267092759085,0.01842439185499047,-0.22267605682081668,0.8237876373983111
log1p(total_same_1s_w1),0.0031298397665991753,0.017365420848214845,0.18023402910623504,0.8569688444852779
log1p(total_opp_1s_w1),0.010460277399552865,0.01830923175258027,0.5713116498227035,0.567788406133833
log1p(max_size_1s_w2),-0.00470555742424093,0.0180961925240307,-0.26003024768841404,0.794840441627473
avg_size_1s_w2,0.0064943993832837195,0.008066047305346763,0.8051526525239641,0.42073159507803237
log1p(same_count_1s_w2),0.046922281608771564,0.018389078317404772,2.5516385758366624,0.01072176770482705
log1p(opp_count_1s_w2),-0.010855745257835687,0.017673905497962626,-0.6142244711610058,0.5390670047036121
log1p(total_same_1s_w2),0.01679906376557353,0.017766500143908497,0.9455471606394765,0.3443796057597821
log1p(total_opp_1s_w2),-0.017495792675804964,0.017934993855127344,-0.9755114954111446,0.3293066023484509
max_size_5s_w0,-0.007795508641338892,0.009713328896594957,-0.8025578794178004,0.422230321928839
avg_size_5s_w0,0.0067040139405368454,0.0118798093703855,0.5643199929831282,0.5725363773853687
log1p(same_count_5s_w0),0.0209388037800855,0.024361241472616934,0.8595130015693823,0.3900575500246849
opp_count_5s_w0,-0.005076840989835782,0.044575473160807094,-0.11389314862729456,0.9093224968295133
log1p(total_same_5s_w0),-0.03917574267202645,0.02286290782134327,-1.7135065661006872,0.08661938642680235
log1p(total_opp_5s_w0),0.029548990577858272,0.018618919897338864,1.5870410711676999,0.11250334291816454
max_size_5s_w1,0.004494309011679066,0.008228350298943705,0.5461980650308498,0.5849297960902622
avg_size_5s_w1,-0.0007229275603045159,0.009256647539503768,-0.07809820534046938,0.9377499347666911
log1p(same_count_5s_w1),0.03166227635998997,0.018808861854653584,1.6833701371545917,0.09230346054147859
opp_count_5s_w1,-0.026480512088462946,0.04662500664753399,-0.5679465589923623,0.5700712560502106
log1p(total_same_5s_w1),0.01325834689921914,0.018672623445989554,0.7100420001275571,0.4776780914252847
log1p(total_opp_5s_w1),0.007101287343018981,0.013343851201076258,0.5321767483772767,0.5946035854202072
max_size_5s_w2,-0.01350953729081475,0.009893173745457742,-1.3655412952812427,0.17208298316447757
avg_size_5s_w2,-0.017190013353096834,0.009606831213546128,-1.7893531145689356,0.0735579650647303
log1p(same_count_5s_w2),0.01243673158461157,0.018331791318981508,0.6784242395195746,0.4975027444222597
opp_count_5s_w2,0.16583360070889827,0.049723088599668376,3.3351427954136437,0.0008525560771046195
log1p(total_same_5s_w2),0.041182007466244806,0.018857085143770824,2.183901019286043,0.028969522114302988
log1p(total_opp_5s_w2),0.010827924629108754,0.013387184369705216,0.8088276317170929,0.4186142999791743
max_size_30s_w0,0.01879589386823089,0.010621090659027483,1.7696764364077022,0.07678105744757349
avg_size_30s_w0,0.0065305091170396075,0.012853015012512002,0.5080916120211767,0.6113890974436591
same_count_30s_w0,0.0014687842144562424,0.7315153767284572,0.0020078651265337155,0.9983979564918101
opp_count_30s_w0,0.03288289997801123,0.7332808206857909,0.044843529314264545,0.9642320285965236
log1p(total_same_30s_w0),-0.08599942487771696,0.020056022372787276,-4.287960158760295,1.8032142567712443e-05
total_opp_30s_w0,-0.03043014094651597,0.020768985521698813,-1.465172235529919,0.1428739325438915
max_size_30s_w1,-0.00480569335899595,0.00878324957122669,-0.5471429816521511,0.5842805051002858
avg_size_30s_w1,0.014124188795413306,0.009775061136931482,1.4449207629045144,0.1484801435587635
same_count_30s_w1,-0.04856118271209434,0.6079718882975598,-0.07987405938796802,0.9363374215047909
opp_count_30s_w1,0.0924802445665174,0.6083483491287655,0.15201856748516082,0.8791722911172665
log1p(total_same_30s_w1),0.003541556591126328,0.01526898923675664,0.23194440288168067,0.8165811962650898
total_opp_30s_w1,-0.007450849306341304,0.01956614884811485,-0.3808030575755931,0.7033493902933395
max_size_30s_w2,-0.006700020132456638,0.008792268594711647,-0.762035424678285,0.4460388617315514
avg_size_30s_w2,0.01286160368899651,0.00960385713201529,1.3392123094086064,0.18050156627530412
same_count_30s_w2,0.07598461708254652,0.5848304728824515,0.1299258855443039,0.8966250641695995
opp_count_30s_w2,-0.06709774779068024,0.5875542752281513,-0.11419838237859087,0.9090805341963117
log1p(total_same_30s_w2),-0.022564799799637394,0.014999527167751426,-1.5043674075374254,0.13248679146685188
total_opp_30s_w2,0.01597165596918647,0.02028525890905312,0.7873528280212617,0.4310753526075469
max_size_300s_w0,0.00048494087252757347,0.009691528422508942,0.050037605152277106,0.9600924212633082
avg_size_300s_w0,-0.016009044338854687,0.012927864308251064,-1.238336352945559,0.21559136972708537
same_count_300s_w0,-0.3441641980015584,5.4116786347622,-0.06359656979459233,0.9492914631223742
opp_count_300s_w0,0.20649906920363245,5.410612242304538,0.03816556425704579,0.9695556766234759
total_same_300s_w0,0.07811139954610972,0.029444284193459246,2.6528544227086828,0.007981428575715098
total_opp_300s_w0,0.06848124375306348,0.03579214107196818,1.9133039181804319,0.05570915643035408
max_size_300s_w1,-0.004316540007148102,0.00830830070984064,-0.519545471197912,0.603380412293295
avg_size_300s_w1,0.017796848949769666,0.010120310329805074,1.7585279867709795,0.07865771391858566
same_count_300s_w1,0.034505579706059615,4.458311917428157,0.007739606457586007,0.9938247491520034
opp_count_300s_w1,-0.017325518073074437,4.421230284809722,-0.003918709715845548,0.9968733300218003
total_same_300s_w1,-0.0762828815087896,0.03132648586760599,-2.435092203804194,0.014887995456811654
total_opp_300s_w1,0.04118845931719848,0.029799213089285237,1.3821995632498236,0.16691043419099472
max_size_300s_w2,-0.0038536122660117085,0.008270728117964806,-0.465933858669746,0.6412628445437278
avg_size_300s_w2,0.014089070926785708,0.009715791453653574,1.4501207641182523,0.1470248457488828
same_count_300s_w2,0.059358080368101425,4.450652869439628,0.013336937772811537,0.9893589787236289
opp_count_300s_w2,-0.0649395981683304,4.462891995354956,-0.014551012714607592,0.9883903813003224
total_same_300s_w2,0.02249241923313364,0.02866527174586841,0.7846574570281379,0.43265443252121605
total_opp_300s_w2,0.0017309318522014249,0.029754842421209304,0.05817311440263631,0.9536107360436538
ret_autocov_80ms_w0,-0.010875309137609951,0.005406149733331931,-2.0116551841983954,0.04425629788523464
ret_sum_80ms_w0,0.03113394427511905,0.02118189286429693,1.469837680446244,0.1416057212271261
trade_intensity_80ms_w0,0.008356822978728938,0.006144486171174146,1.3600523698683884,0.17381335206143778
ret_autocov_80ms_w1,0.00415517151000491,0.00652387743204954,0.636917470213649,0.5241786025233681
ret_sum_80ms_w1,-0.031211527457113725,0.013325402474393835,-2.3422577679803642,0.019167471717814064
log1p(trade_intensity_80ms_w1),0.013792045421178345,0.018444387858711463,0.7477637928040116,0.45460264505302705
ret_autocov_80ms_w2,0.00717570745640177,0.007786463596066972,0.9215618063155523,0.35675718844108306
ret_sum_80ms_w2,-0.011977353623617366,0.01159242170388565,-1.0332054793695689,0.3015077492179127
log1p(trade_intensity_80ms_w2),0.026467117448650792,0.01882875638302464,1.4056752825434948,0.1598205699120686
ret_autocov_1s_w0,0.00651513880149385,0.010043584124766369,0.6486866362206533,0.516540943985474
ret_sum_1s_w0,0.069912052481034,0.039958838890012845,1.7496017007267834,0.08018706607080767
trade_intensity_1s_w0,0.0033478949884000976,0.00510146330618725,0.6562617012925767,0.5116557551273104
ret_autocov_1s_w1,-0.008601414340799146,0.008153968846383348,-1.0548745651161349,0.29148269632689705
ret_sum_1s_w1,0.018997227653227117,0.025680334671871956,0.7397577911644219,0.4594469746300148
log1p(trade_intensity_1s_w1),-0.005942120222110845,0.016524517797474342,-0.3595941675840645,0.7191506458153114
ret_autocov_1s_w2,0.0026419747751901222,0.008188507721076578,0.3226442308150832,0.746964692307191
ret_sum_1s_w2,-0.025644974157837435,0.014409874530437834,-1.7796806005262442,0.07512824705512668
log1p(trade_intensity_1s_w2),0.001172761314960277,0.016368071907710825,0.07164932568556237,0.942880984695164
ret_autocov_5s_w0,-0.0029766690133323365,0.01320013957267942,-0.22550284388607567,0.8215881132421445
ret_sum_5s_w0,0.048648605609544655,0.04724533386368758,1.0297018061065204,0.303150007495806
trade_intensity_5s_w0,0.026881318209056947,0.04032155041649712,0.6666737248788616,0.504980565640839
ret_autocov_5s_w1,-0.015035682311931869,0.007135849798035833,-2.10706261166967,0.03511215266212315
ret_sum_5s_w1,0.021370051852212083,0.03791463440604964,0.5636359729424765,0.5730018998095568
trade_intensity_5s_w1,0.0017182715958334051,0.04639749698306978,0.037033713186303864,0.970458124933897
ret_autocov_5s_w2,0.0005039009883519644,0.008934807730486988,0.05639751895640395,0.9550251333974636
ret_sum_5s_w2,0.07840120904548231,0.029149145693246177,2.689657181398897,0.007152545446169315
trade_intensity_5s_w2,-0.17434838602828717,0.051628255982180196,-3.3769954593946494,0.0007328225981716992
