feature,mean,std,min,q01,median,q99,max,zero_share,neg_share,q99_to_median,skew_proxy,log1p_candidate
stdev_100,0.00027920910712522356,0.00015912007949842537,1.09499796963064e-06,4.460462514543906e-05,0.000246628827881068,0.0007254304946400225,0.0017635084223002195,0.0,0.0,2.9413856477063884,1.9413856477063884,False
stdev_500,0.0002759435042787127,0.0001443371791345281,2.7972091629635543e-05,5.168610732653178e-05,0.00025576946791261435,0.0006696414022007944,0.0009374705841764808,0.0,0.0,2.6181444081886376,1.6181444081886376,False
amplitude_80ms_w0,0.27294472707856704,0.3387489384412952,0.0,0.0,0.1938890814781189,1.361714965105055,23.784238815307617,0.1482464522065329,0.0,7.02316476370914,6.02316476370914,True
ret_vwap_80ms_w0,1.6999288519287215e-05,2.0830695782912363e-05,-0.0008304227376356721,-7.934947902299428e-08,1.1866663953696843e-05,8.248045327491121e-05,0.0010057627223432064,0.0014627643887650257,0.06959042597114579,6.950601584130638,5.950601584130638,False
amplitude_80ms_w1,0.16008167628989955,0.3555171739589075,0.0,0.0,0.0,1.3737820267677257,29.62908363342285,0.567694140684904,0.0,1373782026767.7256,1373782026766.7256,True
ret_vwap_80ms_w1,2.7897204188870758e-05,3.842154837125162e-05,-0.001867735176347196,-3.273150770866096e-08,1.512299513706239e-05,0.00013999044647789504,0.0023066108115017414,3.538946101850869e-05,0.020791308348373855,9.256793724334154,8.256793724334154,False
amplitude_80ms_w2,0.09860579300823329,0.3042199610342521,0.0,0.0,0.0,1.274829410314559,19.122159957885742,0.7159022543086668,0.0,1274829410314.559,1274829410313.559,True
ret_vwap_80ms_w2,2.9680575269535035e-05,4.9258353428033586e-05,-0.002028270158916712,-1.6366610398108607e-05,1.1044692769246467e-06,0.0001828409016889051,0.0030407363083213568,2.6542095763881516e-05,0.022516544573026154,165.54639002545977,164.54639002545977,False
amplitude_1s_w0,0.9748772470232254,1.069700461677211,0.0,0.0,0.6992474496364594,4.803047413825983,41.5123176574707,0.02622653973646648,0.0,6.868880846577417,5.868880846577417,False
ret_vwap_1s_w0,5.152362453557677e-05,6.150091813769389e-05,-0.0013241859851405025,-9.0791567999986e-05,4.136184179515112e-05,0.0002450715098530052,0.002135554328560829,8.552453079472933e-05,0.058752403534227504,5.925062792579395,4.925062792579395,False
amplitude_1s_w1,0.5555171748978593,1.0190196120955113,0.0,0.0,0.011904053390026093,4.523425102233887,37.25239562988281,0.16948897618289274,0.0,379.99032380213237,378.99032380213237,True
ret_vwap_1s_w1,7.606935898578395e-05,0.0001271332163198835,-0.002899202285334468,-0.00027490746841067447,6.002634108881466e-05,0.000453216402675025,0.0037700794637203217,8.847365254627173e-06,0.11680586521333947,7.5502919960496735,6.5502919960496735,False
amplitude_1s_w2,0.5238698200443279,1.0158108347574157,0.0,0.0,0.011500531807541847,4.393174724578856,41.61597442626953,0.177717025869696,0.0,381.99752829672525,380.99752829672525,True
ret_vwap_1s_w2,8.215313772480072e-05,0.00016759377537299433,-0.004629400558769703,-0.00039839021308580414,6.549594399984926e-05,0.0005722683895146472,0.0036070591304451227,2.0643852260796734e-05,0.15764235410694696,8.737463033069107,7.7374630330691065,False
amplitude_5s_w0,2.366792376429969,2.3577980213636103,0.0,0.01076050720177591,1.7385363578796387,10.786583118438717,66.76915740966797,0.0008493470644442085,0.0,6.204404681875216,5.204404681875216,False
ret_vwap_5s_w0,7.571313757319067e-05,0.00013300572508237216,-0.004084493964910507,-0.00028994493710342794,6.329996176646091e-05,0.0004649863947997799,0.003069162368774414,0.0,0.15635358790152293,7.345761068787091,6.345761068787091,False
amplitude_5s_w1,1.9060995177238436,2.389237926847339,0.0,0.010490438900887966,1.2054607272148132,10.477980661392195,82.55753326416016,0.004467919453586722,0.0,8.692096245724493,7.692096245724493,False
ret_vwap_5s_w1,9.553489006576328e-05,0.0002889906811694331,-0.007484740111976862,-0.000734303139615804,8.444922787020914e-05,0.0009024504723493008,0.006185496225953102,0.0,0.26143079590897833,10.686308153536773,9.686308153536773,False
amplitude_5s_w2,1.8813443901723785,2.3823365552121696,0.0,0.010489184409379959,1.17456716299057,10.52067229270935,65.4344711303711,0.004836559672529521,0.0,8.957063183958441,7.957063183958441,False
ret_vwap_5s_w2,9.67637876952514e-05,0.0003860001329699974,-0.010327544994652271,-0.0010007287585176528,8.937003440223634e-05,0.0011702374101150769,0.00899470318108797,0.0,0.3103242854277996,13.094292935460631,12.094292935460631,False
amplitude_30s_w0,6.814870736386173,5.952759629522918,0.010468540713191032,0.1785597935318947,5.266793251037598,27.57075828552246,153.0423126220703,0.0,0.0,5.234828285710819,4.234828285710819,False
ret_vwap_30s_w0,9.390156216132118e-05,0.0003202059820158661,-0.006243704352527857,-0.0007966050610411912,8.673616321175359e-05,0.0009808985504787414,0.005759140942245722,0.0,0.31324391596182655,11.308991707230833,10.308991707230833,False
amplitude_30s_w1,6.263632416773282,5.93108040870955,0.0,0.010531193353235721,4.715857267379761,26.90410257339476,152.29977416992188,2.949121751542391e-06,0.0,5.7050290218692945,4.7050290218692945,False
ret_vwap_30s_w1,9.800511025787258e-05,0.000706345127909518,-0.015719564631581306,-0.001853242680663243,9.603638682165183e-05,0.0020620036846958033,0.015331480652093887,0.0,0.40090066178292105,21.471066883483743,20.471066883483743,False
amplitude_30s_w2,6.171844438277192,5.833290830034838,0.010458522476255894,0.010522162541747093,4.60996675491333,26.869398841857894,149.77252197265625,0.0,0.0,5.828545035215347,4.828545035215347,False
ret_vwap_30s_w2,9.617978323803598e-05,0.0009341217409352727,-0.01835068315267563,-0.0024665412399917843,9.442030568607152e-05,0.0027263824967667426,0.016338231042027473,0.0,0.42585023180096965,28.87495943755377,27.87495943755377,False
amplitude_300s_w0,24.112369325807006,17.544336764929465,0.010489040985703468,2.687424347400665,19.623180389404297,78.02121238708486,284.2576599121094,0.0,0.0,3.9759718271362923,2.9759718271362923,False
ret_vwap_300s_w0,9.867107545098e-05,0.000902994432253733,-0.014699035324156284,-0.0023506996710784735,9.99115472950507e-05,0.002579715384636074,0.009422780014574528,0.0,0.4361279211050949,25.81999232799255,24.81999232799255,False
amplitude_300s_w1,22.83092151371205,17.366663220927272,0.010487479157745838,1.9302460289001464,18.298076629638672,78.2387302398681,241.43873596191406,0.0,0.0,4.275789845209161,3.275789845209161,False
ret_vwap_300s_w1,5.829388244963821e-05,0.0020664254723295108,-0.026783930137753487,-0.005869753793813288,7.645908408449031e-05,0.005974900918081398,0.02131843753159046,0.0,0.4768405468851376,78.14507575684397,77.14507575684397,False
amplitude_300s_w2,22.492264166099755,17.185439230580094,0.010490328073501587,1.8712653124332428,18.026639938354492,76.94480926513671,280.9128723144531,0.0,0.0,4.268394416722365,3.268394416722365,False
ret_vwap_300s_w2,2.8861296299439323e-05,0.0027696062281677603,-0.03051895834505558,-0.007559717027470469,5.520715785678476e-05,0.007801587674766776,0.022243401035666466,0.0,0.4869294923971641,141.3147855755445,140.3147855755445,False
max_size_80ms_w0,0.5428132499035,1.354457332692755,0.0,0.004000000189989805,0.14000000059604645,6.312169866561874,108.0989990234375,0.0009702610562574465,0.0,45.08692742634265,44.08692742634265,True
avg_size_80ms_w0,0.10391429506361792,0.3135576498103264,0.0,0.0028181818779557943,0.02500000037252903,1.3095084905624381,30.45400047302246,0.0009702610562574465,0.0,52.38033884196965,51.38033884196965,True
same_count_80ms_w0,0.9058551863255122,6.719145207100113,0.0,0.0,0.0,6.0,403.0,0.7047958617923582,0.0,6000000000000.0,5999999999999.0,True
opp_count_80ms_w0,14.74852838824598,18.270685961563846,0.0,1.0,10.0,72.0,1489.0,0.002778072689952932,0.0,7.2,6.2,False
total_same_80ms_w0,0.09057040745318044,1.2211142122034635,0.0,0.0,0.0,1.5870000123977661,330.68701171875,0.7047958617923582,0.0,1587000012397.766,1587000012396.766,True
total_opp_80ms_w0,0.8717999610828636,3.062267196243174,0.0,0.004000000189989805,0.24300000071525574,10.050170097351058,618.6439819335938,0.002778072689952932,0.0,41.358724558720134,40.358724558720134,True
