term,coef,std_err,z_value,p_value
const,-2.342369686182536,0.0065500900747637045,-357.6087747567406,0.0
stdev_100,-0.01427460691626308,0.026727699159615193,-0.5340754110938069,0.5932893610798498
stdev_500,-0.021693578922324264,0.012414138543043856,-1.7474896745437123,0.08055243443473664
log1p(amplitude_80ms_w0),-0.026764567621363825,0.021089646596904012,-1.2690856386987963,0.20441052180273178
ret_vwap_80ms_w0,0.014037815575431267,0.014428277858158197,0.9729377070108093,0.3305842629436856
log1p(amplitude_80ms_w1),0.008480237046383385,0.017589444999654272,0.48212078587755713,0.6297201447340419
ret_vwap_80ms_w1,-0.0053325664301942825,0.014261266411634733,-0.37391955779213465,0.7084641651800492
log1p(amplitude_80ms_w2),0.012110768956029893,0.01626998275269069,0.7443627408902473,0.45665705362040154
ret_vwap_80ms_w2,-0.01385147293885053,0.012451355411410825,-1.1124469972286384,0.26594600722304496
amplitude_1s_w0,-0.017706037675333994,0.019744348745942487,-0.896764836519241,0.36984441511571275
ret_vwap_1s_w0,0.060665106032662876,0.017720124961613522,3.423514572503272,0.0006181693727366303
log1p(amplitude_1s_w1),-0.04625881477222067,0.015177601279677483,-3.04783436590605,0.0023049693670525078
ret_vwap_1s_w1,0.07488231969371627,0.029645835332762438,2.525896769417785,0.011540338587489036
log1p(amplitude_1s_w2),-0.030058243134522097,0.015024859680943345,-2.000567311297171,0.04543903926913811
ret_vwap_1s_w2,0.011199313084966946,0.03568872153561788,0.3138053873347596,0.7536688524282957
amplitude_5s_w0,0.007738280069057595,0.017916428534649514,0.43190974440537255,0.6658070122504298
ret_vwap_5s_w0,-0.021932460027403167,0.019453676542137536,-1.1274197954251206,0.2595650334330397
amplitude_5s_w1,-0.02787603519981448,0.017548341477958928,-1.588528194235754,0.11216695080827434
ret_vwap_5s_w1,0.02852563069654226,0.03138348877472017,0.9089375276696466,0.3633831031364524
amplitude_5s_w2,0.012165149669238175,0.018074295105118206,0.6730635744568151,0.5009068462659324
ret_vwap_5s_w2,-0.00843763063216861,0.04154306730009223,-0.2031056246092324,0.8390524755547033
amplitude_30s_w0,-0.00641177422887701,0.016499244889960085,-0.388610161958298,0.6975645483801787
ret_vwap_30s_w0,-0.02751419833530529,0.020030095210205833,-1.373642913154308,0.16955256757048354
amplitude_30s_w1,-0.052037136356465674,0.015209681576253568,-3.4213166196529543,0.0006231873565950076
ret_vwap_30s_w1,0.03293748437663584,0.029044404478209676,1.1340388955589333,0.2567782329465823
amplitude_30s_w2,-0.0015999917185846226,0.014791351640892028,-0.10817075798274588,0.9138602405714114
ret_vwap_30s_w2,-0.002255072888561762,0.03889520753263631,-0.05797816830440018,0.953766018437765
amplitude_300s_w0,0.03945237084114039,0.016615333961414878,2.3744554838776666,0.017574855303687017
ret_vwap_300s_w0,0.012434599696143536,0.01688226735503396,0.7365479668485277,0.46139728752949005
amplitude_300s_w1,0.025669725099395135,0.015712085850839125,1.633756672607807,0.10230995329328484
ret_vwap_300s_w1,-0.02306893034106924,0.02744341088741534,-0.8405999689946669,0.40057207610534085
amplitude_300s_w2,-0.014400009374023968,0.015045591443913797,-0.957091612363901,0.33852101679471536
ret_vwap_300s_w2,-0.030777596542625914,0.036774864121854975,-0.8369193816907963,0.4026378851036053
log1p(max_size_80ms_w0),0.030894795119647496,0.023786250500961337,1.298850994544048,0.19399507024152707
log1p(avg_size_80ms_w0),0.03322546489949311,0.011359997588744352,2.9247774605527534,0.0034470263301787287
log1p(same_count_80ms_w0),0.040777742431378244,0.010186553960608363,4.0030949219006455,6.251920328261516e-05
opp_count_80ms_w0,0.006465767247220639,0.0320249589439479,0.2018977528913443,0.8399966588359277
log1p(total_same_80ms_w0),-0.031756134235015034,0.011901542292009782,-2.6682368936616583,0.007625047403827504
log1p(total_opp_80ms_w0),-0.08922655821473083,0.026073296305015307,-3.4221433750042465,0.0006212954223996772
log1p(max_size_80ms_w1),0.019364337363999104,0.022845829508445378,0.8476092915269601,0.3966555980340212
log1p(avg_size_80ms_w1),-0.018802432731869177,0.010361805575031652,-1.8145903815428173,0.06958688172702339
log1p(same_count_80ms_w1),-0.005486908801628092,0.011020486657008766,-0.49788262282759976,0.6185667759926011
log1p(opp_count_80ms_w1),-0.038567852479487214,0.024548891179431293,-1.5710629126826692,0.11616803615676619
log1p(total_same_80ms_w1),0.01098941612577587,0.011832395875028653,0.928756630681042,0.3530152249315558
