name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.8072664125122235,0.8,1505031,301007,0.20000053155051292,250,251914.0,25.0,True
trading_gate_validation,0.8595066065292561,0.98,30240000,604800,0.02,250,,,True
dataset_gate_refit,0.807400505789964,0.8,1457218,299818,0.20574684089820466,250,250594.0,25.0,True
trading_gate_test,0.8607221748794931,0.98,30240000,604800,0.02,250,,,True
