name,threshold,selected_quantile,total_count,kept_count,kept_share,min_count_floor,kept_fill_count,min_fill_floor,floor_met
dataset_gate_train,0.7999816700467611,0.8,1558631,311727,0.20000051327094098,250,258133.0,25.0,True
trading_gate_validation,0.8537206824346135,0.98,30240000,604802,0.020000066137566136,250,,,True
dataset_gate_refit,0.8018310589048196,0.8,1532167,308469,0.2013285758014629,250,254705.0,25.0,True
trading_gate_test,0.8525148270431457,0.98,30240000,604803,0.020000099206349205,250,,,True
